Supplier,SKU_ID,SKU_Category,Defect_Rate_PPM,Lead_Time_Variance_Days,Price_Volatility_Pct
Cobalt Hydraulics,SKU-00387,Engine Components,39.8,3.3,2.01
Titan Forge Industries,SKU-00079,Interior Trim,41.3,2.6,3.56
BlueRidge Rubber & Seals,SKU-00444,Body & Chassis,28.9,3.27,0.69
EverTrust Powertrain,SKU-00125,Fasteners,47.6,4.08,2.59
IronClad Metal Works,SKU-00259,Electrical Systems,47.0,13.48,2.22
IronClad Metal Works,SKU-00106,Exhaust Systems,42.0,12.46,1.97
Volt Precision Parts,SKU-00243,Engine Components,320.9,1.73,1.55
Orion Chassis Works,SKU-00236,Exhaust Systems,28.7,2.89,2.64
Atlas Suspension Ltd,SKU-00003,Suspension,47.8,3.47,2.27
Granite Bearing Co,SKU-00296,Interior Trim,49.7,2.8,2.13
Orion Chassis Works,SKU-00410,Engine Components,38.6,4.71,1.84
Vanguard Brake Systems,SKU-00487,Transmission Parts,37.0,2.93,2.4
Silverline Plastics,SKU-00172,Engine Components,28.1,3.62,2.12
Granite Bearing Co,SKU-00458,Suspension,31.7,3.69,2.7
Meridian Electronics,SKU-00457,Electrical Systems,29.8,4.28,2.73
Quantum Sensor Corp,SKU-00514,Fasteners,44.9,4.09,2.33
Vanguard Brake Systems,SKU-00194,Transmission Parts,44.7,1.84,2.67
Pinnacle Fasteners Co,SKU-00443,Electrical Systems,50.7,2.51,10.97
IronClad Metal Works,SKU-00294,Transmission Parts,46.6,15.69,1.13
EverTrust Powertrain,SKU-00031,Body & Chassis,27.3,3.07,0.12
Horizon Interior Trim,SKU-00141,Sensors,47.5,2.02,3.25
Quantum Sensor Corp,SKU-00350,Electrical Systems,39.1,3.16,1.88
Falcon Wiring Harness,SKU-00084,Fasteners,46.4,3.24,1.83
Crestline Components,SKU-00227,Fasteners,57.0,1.51,2.44
EverTrust Powertrain,SKU-00403,Transmission Parts,56.1,3.16,3.73
Granite Bearing Co,SKU-00078,Brake Systems,35.8,1.12,1.4
Titan Forge Industries,SKU-00259,Electrical Systems,52.9,3.0,2.28
Quantum Sensor Corp,SKU-00112,Exhaust Systems,31.5,3.27,1.22
EverTrust Powertrain,SKU-00279,Engine Components,58.9,5.36,2.49
Falcon Wiring Harness,SKU-00126,Interior Trim,52.0,2.01,0.75
EverTrust Powertrain,SKU-00503,Sensors,37.8,1.41,1.04
IronClad Metal Works,SKU-00040,Suspension,65.7,17.23,2.5
Cobalt Hydraulics,SKU-00502,Suspension,41.3,2.33,2.97
Orion Chassis Works,SKU-00412,Brake Systems,44.6,3.03,2.04
IronClad Metal Works,SKU-00445,Interior Trim,40.9,9.67,0.62
BlueRidge Rubber & Seals,SKU-00443,Electrical Systems,41.9,2.56,1.17
Orion Chassis Works,SKU-00098,Suspension,44.6,2.55,0.48
Apex Drivetrain Solutions,SKU-00485,Body & Chassis,143.4,12.22,2.51
Horizon Interior Trim,SKU-00310,Electrical Systems,31.2,2.66,3.02
Cobalt Hydraulics,SKU-00501,Electrical Systems,54.3,2.4,1.83
Summit Casting Group,SKU-00457,Electrical Systems,37.4,2.97,2.36
Horizon Interior Trim,SKU-00302,Fasteners,52.6,2.63,2.86
Horizon Interior Trim,SKU-00195,Sensors,46.1,3.28,2.9
Summit Casting Group,SKU-00061,Sensors,35.3,0.69,3.43
Silverline Plastics,SKU-00053,Transmission Parts,48.1,0.79,1.63
Granite Bearing Co,SKU-00203,Body & Chassis,54.3,2.22,1.79
Volt Precision Parts,SKU-00422,Suspension,387.0,1.45,1.56
EverTrust Powertrain,SKU-00263,Brake Systems,47.5,2.89,2.6
Silverline Plastics,SKU-00251,Electrical Systems,55.9,2.7,2.59
Summit Casting Group,SKU-00128,Exhaust Systems,41.9,2.56,2.29
Cobalt Hydraulics,SKU-00294,Transmission Parts,47.6,3.27,2.64
Volt Precision Parts,SKU-00332,Transmission Parts,312.4,1.69,2.25
EverTrust Powertrain,SKU-00511,Sensors,44.7,2.69,3.97
Orion Chassis Works,SKU-00380,Brake Systems,38.7,2.92,3.05
Orion Chassis Works,SKU-00316,Suspension,46.2,4.84,1.9
Volt Precision Parts,SKU-00474,Body & Chassis,327.8,1.7,1.92
Silverline Plastics,SKU-00221,Electrical Systems,48.0,3.35,2.46
Apex Drivetrain Solutions,SKU-00487,Transmission Parts,230.4,10.72,1.93
Meridian Electronics,SKU-00193,Suspension,77.4,2.89,1.62
IronClad Metal Works,SKU-00067,Sensors,36.7,11.76,2.95
Granite Bearing Co,SKU-00218,Engine Components,40.6,2.63,2.15
Meridian Electronics,SKU-00067,Sensors,53.8,1.65,1.34
Silverline Plastics,SKU-00062,Exhaust Systems,47.7,3.1,2.47
Orion Chassis Works,SKU-00459,Fasteners,35.3,3.18,1.6
Apex Drivetrain Solutions,SKU-00414,Electrical Systems,159.1,8.17,3.24
Apex Drivetrain Solutions,SKU-00116,Interior Trim,205.3,12.81,3.2
Volt Precision Parts,SKU-00436,Electrical Systems,464.7,0.79,1.61
BlueRidge Rubber & Seals,SKU-00036,Engine Components,37.6,1.65,1.34
Cobalt Hydraulics,SKU-00148,Brake Systems,41.4,1.28,2.47
Meridian Electronics,SKU-00368,Transmission Parts,45.6,2.98,2.61
Cobalt Hydraulics,SKU-00158,Interior Trim,52.2,2.13,3.9
Volt Precision Parts,SKU-00380,Brake Systems,322.9,0.64,1.4
Cobalt Hydraulics,SKU-00455,Interior Trim,24.1,2.52,2.1
EverTrust Powertrain,SKU-00035,Fasteners,39.4,4.51,2.64
Granite Bearing Co,SKU-00013,Exhaust Systems,53.7,1.57,1.4
Falcon Wiring Harness,SKU-00489,Exhaust Systems,45.4,2.67,0.71
Cobalt Hydraulics,SKU-00271,Brake Systems,42.8,2.51,2.03
Volt Precision Parts,SKU-00264,Sensors,265.3,1.96,2.06
Meridian Electronics,SKU-00242,Interior Trim,46.1,3.1,3.06
IronClad Metal Works,SKU-00226,Transmission Parts,41.5,13.95,2.55
NorthStar Exhaust Systems,SKU-00359,Engine Components,52.3,2.07,2.83
Falcon Wiring Harness,SKU-00302,Fasteners,56.8,3.79,3.62
BlueRidge Rubber & Seals,SKU-00085,Suspension,34.6,2.51,2.21
Silverline Plastics,SKU-00326,Brake Systems,43.8,1.85,1.01
IronClad Metal Works,SKU-00348,Sensors,46.1,12.54,2.27
Falcon Wiring Harness,SKU-00060,Suspension,35.5,1.4,2.39
Pinnacle Fasteners Co,SKU-00196,Engine Components,46.8,3.08,20.49
Meridian Electronics,SKU-00412,Brake Systems,48.3,2.99,1.34
Falcon Wiring Harness,SKU-00322,Electrical Systems,29.6,4.08,1.46
EverTrust Powertrain,SKU-00071,Exhaust Systems,32.5,2.46,2.13
BlueRidge Rubber & Seals,SKU-00021,Interior Trim,34.2,2.2,3.18
Volt Precision Parts,SKU-00303,Engine Components,265.7,1.11,2.95
BlueRidge Rubber & Seals,SKU-00241,Electrical Systems,50.9,1.88,0.93
Volt Precision Parts,SKU-00500,Body & Chassis,269.0,2.45,3.13
Silverline Plastics,SKU-00272,Engine Components,32.6,2.42,2.74
Falcon Wiring Harness,SKU-00485,Body & Chassis,16.4,3.53,1.25
Pinnacle Fasteners Co,SKU-00112,Exhaust Systems,49.0,2.75,16.97
Volt Precision Parts,SKU-00233,Engine Components,340.3,0.12,1.57
Pinnacle Fasteners Co,SKU-00073,Body & Chassis,46.7,2.31,15.03
EverTrust Powertrain,SKU-00299,Brake Systems,54.5,3.11,2.03
Horizon Interior Trim,SKU-00099,Suspension,22.8,2.04,2.53
Granite Bearing Co,SKU-00256,Electrical Systems,31.9,3.13,2.93
Orion Chassis Works,SKU-00179,Sensors,46.5,0.0,1.18
BlueRidge Rubber & Seals,SKU-00097,Brake Systems,67.6,1.95,0.61
IronClad Metal Works,SKU-00051,Exhaust Systems,59.8,16.06,3.08
EverTrust Powertrain,SKU-00267,Body & Chassis,48.3,2.96,2.49
Summit Casting Group,SKU-00493,Exhaust Systems,53.4,4.78,2.98
BlueRidge Rubber & Seals,SKU-00104,Engine Components,26.0,2.95,3.11
Falcon Wiring Harness,SKU-00211,Brake Systems,59.4,2.07,3.13
Orion Chassis Works,SKU-00117,Engine Components,56.1,5.07,1.6
EverTrust Powertrain,SKU-00421,Sensors,38.9,2.19,1.81
IronClad Metal Works,SKU-00216,Brake Systems,34.3,3.57,1.85
NorthStar Exhaust Systems,SKU-00507,Interior Trim,49.4,2.01,3.75
Atlas Suspension Ltd,SKU-00128,Exhaust Systems,45.2,3.79,2.41
Titan Forge Industries,SKU-00042,Exhaust Systems,54.9,2.78,3.3
IronClad Metal Works,SKU-00303,Engine Components,45.7,18.23,2.49
IronClad Metal Works,SKU-00339,Brake Systems,41.5,17.82,3.99
Summit Casting Group,SKU-00516,Electrical Systems,41.8,2.92,3.21
Summit Casting Group,SKU-00454,Engine Components,58.7,2.51,0.29
Atlas Suspension Ltd,SKU-00460,Electrical Systems,51.2,0.28,3.38
BlueRidge Rubber & Seals,SKU-00330,Interior Trim,47.0,3.5,1.48
Orion Chassis Works,SKU-00188,Transmission Parts,26.4,2.76,2.17
Atlas Suspension Ltd,SKU-00224,Brake Systems,39.1,2.58,4.41
Atlas Suspension Ltd,SKU-00070,Body & Chassis,55.0,3.55,2.88
Meridian Electronics,SKU-00225,Exhaust Systems,62.8,2.31,0.56
BlueRidge Rubber & Seals,SKU-00190,Transmission Parts,42.7,3.31,1.42
Vanguard Brake Systems,SKU-00019,Fasteners,42.9,1.81,3.4
Apex Drivetrain Solutions,SKU-00107,Exhaust Systems,210.0,12.95,2.7
Atlas Suspension Ltd,SKU-00278,Exhaust Systems,44.6,2.7,1.25
Titan Forge Industries,SKU-00193,Suspension,18.8,2.65,2.46
Meridian Electronics,SKU-00517,Fasteners,59.5,4.07,3.46
BlueRidge Rubber & Seals,SKU-00249,Exhaust Systems,33.0,2.15,2.58
Crestline Components,SKU-00499,Sensors,75.4,3.98,3.1
Falcon Wiring Harness,SKU-00344,Interior Trim,40.3,1.62,2.83
Orion Chassis Works,SKU-00022,Transmission Parts,31.8,2.26,2.11
Orion Chassis Works,SKU-00106,Exhaust Systems,64.1,2.15,0.25
Vanguard Brake Systems,SKU-00368,Transmission Parts,51.1,1.8,2.23
Granite Bearing Co,SKU-00284,Body & Chassis,44.0,2.23,2.83
Crestline Components,SKU-00157,Electrical Systems,26.6,1.98,2.75
Atlas Suspension Ltd,SKU-00272,Engine Components,37.6,0.89,2.73
BlueRidge Rubber & Seals,SKU-00470,Sensors,58.5,2.46,0.63
Quantum Sensor Corp,SKU-00203,Body & Chassis,53.5,0.84,2.45
NorthStar Exhaust Systems,SKU-00024,Sensors,34.4,1.34,1.85
Falcon Wiring Harness,SKU-00162,Suspension,42.8,1.86,2.67
Silverline Plastics,SKU-00487,Transmission Parts,39.6,3.48,2.42
Silverline Plastics,SKU-00397,Engine Components,36.6,1.63,0.88
NorthStar Exhaust Systems,SKU-00436,Electrical Systems,48.5,2.15,0.3
NorthStar Exhaust Systems,SKU-00475,Suspension,38.6,1.6,3.46
Cobalt Hydraulics,SKU-00062,Exhaust Systems,24.6,1.06,3.09
Vanguard Brake Systems,SKU-00147,Engine Components,61.3,1.76,1.69
Cobalt Hydraulics,SKU-00032,Brake Systems,52.4,0.17,0.71
Titan Forge Industries,SKU-00003,Suspension,41.6,4.05,1.85
IronClad Metal Works,SKU-00435,Body & Chassis,46.2,21.1,3.89
Volt Precision Parts,SKU-00488,Interior Trim,278.3,2.48,3.66
Cobalt Hydraulics,SKU-00081,Sensors,26.7,3.53,1.39
Volt Precision Parts,SKU-00376,Engine Components,315.6,2.26,1.43
Summit Casting Group,SKU-00279,Engine Components,33.2,2.78,3.0
Vanguard Brake Systems,SKU-00036,Engine Components,43.4,2.57,2.66
Pinnacle Fasteners Co,SKU-00477,Fasteners,33.3,3.24,16.12
Vanguard Brake Systems,SKU-00454,Engine Components,76.2,2.12,1.83
Falcon Wiring Harness,SKU-00296,Interior Trim,54.2,3.32,1.77
Apex Drivetrain Solutions,SKU-00369,Engine Components,163.9,12.62,1.54
Cobalt Hydraulics,SKU-00207,Exhaust Systems,40.1,2.59,3.0
Silverline Plastics,SKU-00413,Brake Systems,37.7,0.66,0.67
Quantum Sensor Corp,SKU-00232,Fasteners,29.9,1.19,2.08
IronClad Metal Works,SKU-00515,Sensors,30.7,12.84,1.58
BlueRidge Rubber & Seals,SKU-00033,Engine Components,39.7,3.82,2.73
IronClad Metal Works,SKU-00090,Fasteners,45.2,13.93,1.85
Quantum Sensor Corp,SKU-00504,Fasteners,48.9,3.08,1.47
EverTrust Powertrain,SKU-00151,Fasteners,45.4,0.47,2.37
EverTrust Powertrain,SKU-00162,Suspension,54.1,2.22,3.65
Granite Bearing Co,SKU-00412,Brake Systems,34.4,2.72,2.17
Summit Casting Group,SKU-00099,Suspension,43.8,2.39,2.29
Orion Chassis Works,SKU-00268,Transmission Parts,55.2,3.88,2.2
Falcon Wiring Harness,SKU-00149,Fasteners,54.8,1.8,2.81
Quantum Sensor Corp,SKU-00103,Fasteners,35.9,3.59,3.97
Orion Chassis Works,SKU-00502,Suspension,43.5,0.31,1.76
Apex Drivetrain Solutions,SKU-00104,Engine Components,229.3,12.66,2.4
Meridian Electronics,SKU-00050,Exhaust Systems,57.1,2.98,3.17
NorthStar Exhaust Systems,SKU-00351,Interior Trim,56.0,4.02,2.49
Pinnacle Fasteners Co,SKU-00451,Sensors,55.9,2.19,11.58
Pinnacle Fasteners Co,SKU-00067,Sensors,65.5,2.72,16.08
Cobalt Hydraulics,SKU-00369,Engine Components,46.5,1.91,2.21
EverTrust Powertrain,SKU-00282,Body & Chassis,62.2,3.06,0.83
Crestline Components,SKU-00432,Exhaust Systems,42.4,4.28,2.03
Cobalt Hydraulics,SKU-00067,Sensors,23.4,4.39,2.75
EverTrust Powertrain,SKU-00508,Brake Systems,44.2,2.13,3.07
IronClad Metal Works,SKU-00322,Electrical Systems,38.5,21.17,2.63
Horizon Interior Trim,SKU-00438,Sensors,47.9,2.65,2.06
Quantum Sensor Corp,SKU-00189,Brake Systems,57.5,1.63,0.9
Volt Precision Parts,SKU-00491,Sensors,343.8,3.13,2.58
Granite Bearing Co,SKU-00326,Brake Systems,49.9,2.18,2.83
Horizon Interior Trim,SKU-00067,Sensors,44.5,2.01,1.95
Titan Forge Industries,SKU-00480,Electrical Systems,69.2,0.77,2.6
IronClad Metal Works,SKU-00414,Electrical Systems,24.9,15.51,1.85
Pinnacle Fasteners Co,SKU-00157,Electrical Systems,20.0,2.89,12.28
Silverline Plastics,SKU-00284,Body & Chassis,19.8,3.34,3.35
Volt Precision Parts,SKU-00202,Sensors,392.0,2.86,2.24
Meridian Electronics,SKU-00283,Suspension,60.9,4.18,3.11
Summit Casting Group,SKU-00502,Suspension,33.7,2.7,2.55
Titan Forge Industries,SKU-00468,Interior Trim,23.3,2.97,4.02
BlueRidge Rubber & Seals,SKU-00113,Interior Trim,52.7,3.97,2.35
Titan Forge Industries,SKU-00506,Body & Chassis,44.1,2.88,1.55
Volt Precision Parts,SKU-00228,Interior Trim,257.0,3.77,3.3
Meridian Electronics,SKU-00367,Body & Chassis,33.1,3.47,2.13
Cobalt Hydraulics,SKU-00398,Electrical Systems,49.1,2.96,3.0
Orion Chassis Works,SKU-00252,Body & Chassis,46.0,3.91,2.45
Orion Chassis Works,SKU-00238,Body & Chassis,52.5,1.67,3.93
Orion Chassis Works,SKU-00238,Body & Chassis,50.6,3.21,0.91
Granite Bearing Co,SKU-00449,Interior Trim,35.1,3.74,2.43
Volt Precision Parts,SKU-00201,Transmission Parts,204.7,3.54,1.76
Quantum Sensor Corp,SKU-00146,Fasteners,61.9,2.41,2.36
Crestline Components,SKU-00189,Brake Systems,59.1,1.6,1.41
Vanguard Brake Systems,SKU-00102,Electrical Systems,42.6,3.33,1.14
Cobalt Hydraulics,SKU-00204,Suspension,25.0,3.32,1.72
Titan Forge Industries,SKU-00060,Suspension,40.3,0.64,1.66
Granite Bearing Co,SKU-00047,Body & Chassis,44.9,3.43,1.58
Silverline Plastics,SKU-00377,Exhaust Systems,64.9,1.82,1.65
NorthStar Exhaust Systems,SKU-00041,Electrical Systems,63.4,2.71,1.76
Silverline Plastics,SKU-00296,Interior Trim,43.1,3.85,3.37
BlueRidge Rubber & Seals,SKU-00406,Interior Trim,35.2,2.46,2.27
Cobalt Hydraulics,SKU-00377,Exhaust Systems,33.2,2.44,2.2
Vanguard Brake Systems,SKU-00232,Fasteners,58.7,3.71,1.94
NorthStar Exhaust Systems,SKU-00101,Fasteners,42.4,3.16,1.73
NorthStar Exhaust Systems,SKU-00484,Exhaust Systems,52.1,2.41,1.42
Volt Precision Parts,SKU-00435,Body & Chassis,257.4,3.95,2.07
Atlas Suspension Ltd,SKU-00319,Sensors,64.7,1.99,2.43
Silverline Plastics,SKU-00046,Sensors,73.7,1.44,0.68
BlueRidge Rubber & Seals,SKU-00019,Fasteners,60.4,1.67,2.18
Pinnacle Fasteners Co,SKU-00164,Body & Chassis,38.0,2.77,10.46
Vanguard Brake Systems,SKU-00082,Body & Chassis,42.8,2.95,1.39
Pinnacle Fasteners Co,SKU-00448,Sensors,36.6,2.15,8.93
Apex Drivetrain Solutions,SKU-00108,Suspension,163.1,11.36,1.88
EverTrust Powertrain,SKU-00147,Engine Components,41.7,2.48,1.68
Horizon Interior Trim,SKU-00508,Brake Systems,53.3,3.94,1.83
Summit Casting Group,SKU-00426,Electrical Systems,50.8,2.26,2.49
BlueRidge Rubber & Seals,SKU-00114,Body & Chassis,63.8,3.01,0.78
Apex Drivetrain Solutions,SKU-00200,Sensors,198.2,14.7,2.02
Summit Casting Group,SKU-00269,Suspension,56.9,1.81,1.01
Falcon Wiring Harness,SKU-00346,Brake Systems,46.7,0.74,2.01
Orion Chassis Works,SKU-00487,Transmission Parts,60.4,0.59,1.18
EverTrust Powertrain,SKU-00453,Body & Chassis,32.6,2.44,1.91
BlueRidge Rubber & Seals,SKU-00509,Brake Systems,61.8,3.45,2.6
Titan Forge Industries,SKU-00022,Transmission Parts,46.7,2.89,1.51
Granite Bearing Co,SKU-00123,Suspension,55.3,1.39,2.87
Silverline Plastics,SKU-00293,Sensors,59.2,2.71,2.06
Falcon Wiring Harness,SKU-00026,Suspension,49.8,0.0,2.44
EverTrust Powertrain,SKU-00185,Body & Chassis,43.6,2.45,2.77
Granite Bearing Co,SKU-00080,Suspension,44.1,1.36,2.09
Silverline Plastics,SKU-00486,Brake Systems,45.8,2.61,2.33
IronClad Metal Works,SKU-00033,Engine Components,57.5,11.11,2.34
Falcon Wiring Harness,SKU-00078,Brake Systems,60.5,0.77,2.34
Horizon Interior Trim,SKU-00102,Electrical Systems,38.0,2.13,1.48
Crestline Components,SKU-00078,Brake Systems,43.0,4.34,1.19
Orion Chassis Works,SKU-00296,Interior Trim,31.0,1.2,3.58
EverTrust Powertrain,SKU-00190,Transmission Parts,39.5,2.47,1.88
EverTrust Powertrain,SKU-00475,Suspension,33.7,2.26,4.17
Summit Casting Group,SKU-00136,Transmission Parts,61.7,1.65,2.72
Falcon Wiring Harness,SKU-00280,Engine Components,35.0,0.72,3.02
Granite Bearing Co,SKU-00344,Interior Trim,58.9,3.55,1.82
Vanguard Brake Systems,SKU-00326,Brake Systems,43.0,3.25,2.51
IronClad Metal Works,SKU-00415,Engine Components,40.3,8.71,2.29
Volt Precision Parts,SKU-00105,Exhaust Systems,369.3,1.3,2.71
Granite Bearing Co,SKU-00264,Sensors,49.0,3.25,2.9
Titan Forge Industries,SKU-00417,Sensors,36.7,0.88,1.77
EverTrust Powertrain,SKU-00449,Interior Trim,55.7,1.96,1.64
Titan Forge Industries,SKU-00322,Electrical Systems,23.1,4.25,2.86
EverTrust Powertrain,SKU-00339,Brake Systems,54.2,3.47,2.66
Atlas Suspension Ltd,SKU-00450,Brake Systems,42.1,2.34,1.86
Granite Bearing Co,SKU-00325,Sensors,76.6,3.06,1.83
Volt Precision Parts,SKU-00494,Suspension,335.6,1.49,3.4
Crestline Components,SKU-00067,Sensors,37.1,3.0,3.05
Cobalt Hydraulics,SKU-00181,Sensors,49.6,2.59,2.21
Silverline Plastics,SKU-00059,Exhaust Systems,44.3,1.92,1.84
Cobalt Hydraulics,SKU-00048,Fasteners,62.8,2.39,1.57
Apex Drivetrain Solutions,SKU-00246,Engine Components,159.3,14.3,2.74
Quantum Sensor Corp,SKU-00118,Electrical Systems,51.7,2.24,2.66
Volt Precision Parts,SKU-00212,Exhaust Systems,274.6,2.24,2.98
Volt Precision Parts,SKU-00228,Interior Trim,358.1,1.52,1.52
Orion Chassis Works,SKU-00323,Suspension,46.3,4.23,0.67
Falcon Wiring Harness,SKU-00492,Fasteners,48.3,1.12,1.69
Granite Bearing Co,SKU-00442,Transmission Parts,40.6,2.08,1.77
Silverline Plastics,SKU-00197,Transmission Parts,45.1,1.96,1.03
Falcon Wiring Harness,SKU-00170,Engine Components,54.4,3.25,2.87
Cobalt Hydraulics,SKU-00401,Sensors,26.5,2.8,2.74
Volt Precision Parts,SKU-00065,Body & Chassis,253.3,2.51,2.11
Meridian Electronics,SKU-00282,Body & Chassis,67.1,4.42,0.87
BlueRidge Rubber & Seals,SKU-00220,Sensors,74.9,1.58,2.98
Silverline Plastics,SKU-00096,Brake Systems,56.6,1.5,2.59
Apex Drivetrain Solutions,SKU-00321,Transmission Parts,175.7,12.66,2.38
NorthStar Exhaust Systems,SKU-00167,Transmission Parts,59.4,2.58,2.07
Orion Chassis Works,SKU-00097,Brake Systems,58.2,3.08,2.79
Apex Drivetrain Solutions,SKU-00340,Sensors,153.4,7.86,1.75
Atlas Suspension Ltd,SKU-00091,Body & Chassis,37.6,3.29,2.98
Silverline Plastics,SKU-00350,Electrical Systems,43.1,3.93,3.29
Orion Chassis Works,SKU-00085,Suspension,47.9,1.68,3.46
Meridian Electronics,SKU-00227,Fasteners,44.3,2.63,1.93
Silverline Plastics,SKU-00421,Sensors,34.3,1.03,2.71
